"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","events_trt","events_ctl","outcome","stratum","db"
0.9057,0.8374,0.9795,0.013225,0.2604,0.2799,6349,1653,1777,"AKI_Stage1+","Overall","MIMIC"
0.699,0.6239,0.7831,0,0.2159,0.2827,3223,696,911,"AKI_Stage1+","eGFR>=90","MIMIC"
0.9858,0.8611,1.1286,0.836012,0.2721,0.275,2113,575,581,"AKI_Stage1+","eGFR_60-89","MIMIC"
1.4856,1.1534,1.9135,0.002178,0.3497,0.2657,572,200,152,"AKI_Stage1+","eGFR_45-59","MIMIC"
1.8259,1.3106,2.5437,0.000372,0.4341,0.2958,311,135,92,"AKI_Stage1+","eGFR_30-44","MIMIC"
1.2292,0.7332,2.0607,0.43369,0.3615,0.3154,130,47,41,"AKI_Stage1+","eGFR<30","MIMIC"
0.9755,0.8434,1.1283,0.738379,0.0602,0.0616,6349,382,391,"AKI_Stage2+","Overall","MIMIC"
0.6318,0.5022,0.7948,8.8e-05,0.0391,0.0605,3223,126,195,"AKI_Stage2+","eGFR>=90","MIMIC"
0.9324,0.73,1.1908,0.574754,0.0629,0.0672,2113,133,142,"AKI_Stage2+","eGFR_60-89","MIMIC"
2.0387,1.2903,3.221,0.002272,0.1014,0.0524,572,58,30,"AKI_Stage2+","eGFR_45-59","MIMIC"
3.3383,1.8169,6.1338,0.000103,0.1447,0.0482,311,45,15,"AKI_Stage2+","eGFR_30-44","MIMIC"
2.4444,1.0646,5.6127,0.035063,0.1538,0.0692,130,20,9,"AKI_Stage2+","eGFR<30","MIMIC"
1.1499,0.9304,1.4212,0.196122,0.0298,0.026,6349,189,165,"AKI_Stage3+","Overall","MIMIC"
0.5241,0.3488,0.7874,0.001864,0.0112,0.0211,3223,36,68,"AKI_Stage3+","eGFR>=90","MIMIC"
0.7509,0.5227,1.0786,0.121042,0.0251,0.0331,2113,53,70,"AKI_Stage3+","eGFR_60-89","MIMIC"
2.4923,1.2581,4.9375,0.008839,0.0507,0.021,572,29,12,"AKI_Stage3+","eGFR_45-59","MIMIC"
5.4306,2.4909,11.8396,2.1e-05,0.1254,0.0257,311,39,8,"AKI_Stage3+","eGFR_30-44","MIMIC"
5.7376,2.4203,13.6016,7.3e-05,0.2462,0.0538,130,32,7,"AKI_Stage3+","eGFR<30","MIMIC"
0.8812,0.7313,1.0619,0.183881,0.034,0.0384,6354,216,244,"hosp_mortality","Overall","MIMIC"
0.3437,0.2419,0.4883,0,0.0133,0.0379,3223,43,122,"hosp_mortality","eGFR>=90","MIMIC"
0.7494,0.5314,1.0569,0.100041,0.0279,0.0369,2115,59,78,"hosp_mortality","eGFR_60-89","MIMIC"
2.1326,1.2481,3.6439,0.00559,0.075,0.0366,573,43,21,"hosp_mortality","eGFR_45-59","MIMIC"
2.406,1.3258,4.3663,0.003883,0.1214,0.0543,313,38,17,"hosp_mortality","eGFR_30-44","MIMIC"
7.0309,2.8215,17.5206,2.8e-05,0.2538,0.0462,130,33,6,"hosp_mortality","eGFR<30","MIMIC"
1.158,1.002,1.3383,0.046926,0.0661,0.0576,6354,420,366,"vent_arrhythmia","Overall","MIMIC"
0.9874,0.7916,1.2315,0.910279,0.0512,0.0518,3223,165,167,"vent_arrhythmia","eGFR>=90","MIMIC"
1.099,0.8593,1.4054,0.45218,0.0671,0.0615,2115,142,130,"vent_arrhythmia","eGFR_60-89","MIMIC"
1.6754,1.1078,2.5339,0.014475,0.1117,0.0698,573,64,40,"vent_arrhythmia","eGFR_45-59","MIMIC"
2.0521,1.1167,3.7711,0.020586,0.1054,0.0543,313,33,17,"vent_arrhythmia","eGFR_30-44","MIMIC"
1.3801,0.6235,3.0549,0.426785,0.1231,0.0923,130,16,12,"vent_arrhythmia","eGFR<30","MIMIC"
1.3255,1.2137,1.4475,0,0.218,0.1737,6354,1385,1104,"poaf","Overall","MIMIC"
1.1099,0.9814,1.2553,0.096615,0.2045,0.188,3223,659,606,"poaf","eGFR>=90","MIMIC"
1.6315,1.4032,1.8969,0,0.2482,0.1683,2115,525,356,"poaf","eGFR_60-89","MIMIC"
1.6848,1.2451,2.2797,0.000723,0.2269,0.1483,573,130,85,"poaf","eGFR_45-59","MIMIC"
1.3612,0.8858,2.0918,0.159452,0.1821,0.1406,313,57,44,"poaf","eGFR_30-44","MIMIC"
1.0862,0.4878,2.4186,0.839549,0.1077,0.1,130,14,13,"poaf","eGFR<30","MIMIC"
